,lid,label,msptype,ltype
u84,u84,Aquaculture,use,
u83,u83,Cables and Pipelines,use,
u76,u76,Coastal and Maritime Tourism,use,
u78,u78,Coastal Defence Work,use,
u86,u86,Flying,use,
u81,u81,LNGs,use,
u75,u75,Maritime Transport,use,
u88,u88,Military Areas,use,
u77,u77,Naval base activities,use,
u89,u89,Offshore sand deposits,use,
u79,u79,Oil & Gas extraction,use,
u87,u87,Small scale fishery,use,
u85,u85,Trawling,use,
e2,e2,A3 - Infralittoral rock and other hard substrata,env,
e4,e4,A4.26 - Mediterranean coralligenous communities,env,
e5,e5,A4.27 - Fauna communities on deep moderate energy,env,
e3,e3,A4.7 - Circalittoral rock and other hard substrata,env,
e6,e6,A5.13 - Infralittoral coarse sediment,env,
e7,e7,A5.14 - Circalittoral coarse sediment,env,
e8,e8,A5.23 - Infralittoral fine sands,env,
e9,e9,A5.25 - Circalittoral fine sands,env,
e10,e10,A5.26 - Circalittoral muddy sand,env,
e36,e36,A5.33 - Infralittoral sandy mud,env,
e37,e37,A5.34 - Infralittoral fine mud,env,
e11,e11,A5.35 - Circalittoral sandy mud,env,
e12,e12,A5.36 - Circalittoral fine mud,env,
e13,e13,A5.38 - Mediterranean biocenosis of muddy detritic bottoms,env,
e14,e14,A5.39 - Mediterranean biocenosis of coastal terrigenous muds,env,
e15,e15,A5.46 - Mediterranean biocenosis of coastal detritic bottoms,env,
e16,e16,A5.47 - Mediterranean biocenosis of shelf-edge detritic bottoms,env,
e19,e19,A5.531 - Cymodocea beds,env,
e18,e18,A5.535 - Posidonia beds,env,
e21,e21,A6.3 - Deep-sea sand,env,
e22,e22,A6.4 - Deep-sea muddy sand,env,
e24,e24,A6.511 - Facies of sandy muds with Thenea muricata,env,
e23,e23,A6.51 - Meditteranean communities of bathyal muds,env,
e32,e32,GDR - Giant devil ray,env,
e27,e27,MM - Marine mammals,env,
e26,e26,NH - Nursery habitats,env,
e28,e28,SB - Seabirds,env,
e29,e29,TU - Turtles,env,
u94p15,u94p15,Inputs of fertilisers and other nitrogen and phosphorus-rich substances ,pre,
u94p19,u94p19,Inputs of organic matter,pre,
u94p12,u94p12,Introduction of non-synthetic substances and compounds,pre,
u94p14,u94p14,Introduction of other substances,pre,
u94p13,u94p13,Introduction of radio-nuclides,pre,
u94p11,u94p11,Introduction of synthetic compounds,pre,
